,text,embeddings,distances
36,"In addition to positions and policies articulated earlier in her career, Haley has taken further stances during her campaign for the U.S. presidency. Haley addressed the issue of abortion as far back as her service in the South Carolina state legislature. In a 2023 interview, she elaborated on that subject, pointing to a proposal from Senator Lindsey Graham that would establish a national 15-week abortion ban, with exceptions for r***, incest, health, and life of the mother.Haley said that the Florida Parental Rights in Education Act, known as the ""Don't Say Gay"" law, does not go far enough, in that prohibitions against discussing sex and sexuality before third grade should be subject to opt-in parental consent, and suggesting they should be extended until seventh grade.In an opinion article published by the New York Post on 24 February 2023, Haley vowed to ""cut every cent in foreign aid for countries that hate [the United States]"". She listed Iraq, Pakistan, Zimbabwe, China, and Cuba as such countries, and labeled them ""enemies"" of the United States.In June 2023, Haley attacked both Trump and Ron DeSantis for their positions regarding the on-going Russian invasion of Ukraine.","[-2.03952007e-02  3.45970839e-05  9.81618068e-04 ...  2.00121291e-03
 -9.77490190e-03 -1.82552896e-02]",0.17135164239981848
29,During the 2016 Republican presidential primaries Haley supported and campaigned for Florida Senator Marco Rubio.  ,"[-0.03195158 -0.00150694  0.01419501 ... -0.0104669  -0.00144608
  0.01693664]",0.1798461929493469
35,"While speaking at Christians United for Israel's Washington summit in July 2022, Haley hinted at a run for president in the 2024 U.S. presidential election, saying, ""If this president signs any sort of [Iran nuclear] deal, I'll make you a promise: The next president will shred it on her first day in office,"" and, ""Just saying, sometimes it takes a woman."" On February 1, 2023, it was reported that Haley was going to announce a bid for the presidency on February 15, making her the first challenger to former President Donald Trump's campaign. Haley will be the third Indian American politician to seek a presidential nomination following Bobby Jindal and Vice President Kamala Harris. Haley had previously claimed that she would not run for the candidacy if Trump also sought the nomination.On February 14, 2023, she officially announced her candidacy. In an ad titled ""Strong and Proud,"" Haley made it official that she is running for president in 2024. She became the second major candidate to announce her run for the 2024 Republican presidential primaries. Haley is the first woman of color to be a major candidate for the Republican presidential nomination, though she is not the first such non-major candidate (e.g. see Isabell Masters). She is the first woman who has been a governor to run for president.On February 15, 2023, Haley held a campaign announcement rally with supporters in Charleston, South Carolina and received an endorsement from freedom caucus member Ralph Norman, with him saying that she would have been in the group of Congressional Republicans opposing Speaker Kevin McCarthy. She also was joined by the mother of Otto Warmbier who praised Haley for changing her life following her son's death. Haley also announced that she supports congressional term limits and ""mandatory mental competence tests for politicians over 75 years old,"" which received mixed feedback from U.S. Senators.The efficacy of Haley's campaign is debated among experts and commentators. The Wall Street Journal's Editorial Board wrote that there is “no clear rationale for her candidacy.” Political columnists at the New York Times say the two-year governor and former US ambassador to the United Nations should not be taken seriously. ""Nikki Haley Will Not Be the Next President,"" read the caption. However, Politico's Chief Washington Correspondent, Ryan Lizza, wrote that Haley ""shouldn't be counted out just yet"" due to her relative youth, the tradition of volatility and upsets in Republican primaries, and her electability. Likewise, Former Lieutenant Governor of Georgia Geoff Duncan wrote that Nikki Haley's candidacy ""is a race to watch"" while citing her prior executive and foreign policy experience, along with her prior record of supporting popular conservative bills and policies while in office.","[-0.04437492 -0.02245679  0.00017384 ... -0.0044439   0.00078915
 -0.001531  ]",0.18351556973995753
19,"Haley has been described by South Carolina senator Lindsey Graham as a ""strong supporter of the State of Israel."" As governor of South Carolina, she signed into law a bill to stop efforts of the Boycott, Divestment and Sanctions (BDS) movement. This legislation was the first of its kind on a statewide level. Haley also stated that ""nowhere has the UN's failure been more consistent and more outrageous than in its bias against our close ally Israel"".Haley supports Voter ID laws, laws requiring photo identification at the polls.  Haley’s spokesman said, “Those who see race in this issue are those who see race in every issue, but anyone looking at this law honestly will understand it is a commonsense measure to protect our voting process. Nothing more, nothing less.”","[-0.03143435 -0.0033773   0.01864373 ... -0.00546443 -0.01002084
  0.01269263]",0.18768297171251314
28,"Circa 2019 it was rumored that President Trump sought to replace Vice President Mike Pence for Nikki Haley as his running mate in the 2020 U.S. presidential election. It was assumed that putting Haley on Trump's 2020 ticket could help his performance with suburban women, a demographic he had so far struggled to mobilize in his favor. However, Trump promptly denied these speculations saying ""I love Nikki and there are places for Nikki, and Nikki's future is great, but Mike Pence is the person, 100%. We won together. We have tremendous evangelical support. You can't break up a team like that."" Haley also dismissed that allegation on Twitter ""Enough of the false rumors. Vice President Pence has been a dear friend of mine for years. He has been a loyal and trustworthy VP to the President. He has my complete support.""She supported Trump's January 2020 killing of Iranian general Qasem Soleimani. Haley stated on Fox News and later tweeted that Democrats were ""mourning the loss of Soleimani.""In early 2021, Haley created a PAC to endorse and support candidates in the 2022 midterm elections. She hired former NRSC political director Betsy Ankney to be the executive director.In October 2021, Haley was selected to replace David Wilkins for a lifetime position on the Clemson University Board of Trustees.","[-0.05161789 -0.02067051  0.01145118 ... -0.01021847  0.00329749
  0.00577749]",0.18877440676631174
6,"Haley was elected chair of the freshman caucus in 2005 and majority whip in the South Carolina General Assembly. She was the only freshman legislator named to a whip spot at the time.One of Haley's stated goals was to lower taxes. When Mark Sanford was governor of South Carolina, Haley voted against a proposed cigarette surtax despite criticism that the revenue from the tax would have been used for smoking prevention programs and cancer research related to smoking. She voted for a bill that raised sales taxes from five cents per dollar to six cents per dollar. The bill exempted sales tax on unprepared food such as canned goods. The same bill also exempts property tax on ""owner-occupied residential property"" except for the taxes due from what is still owed on the property.Haley implemented a plan in which teachers' salaries would be based on not only seniority and qualifications but also job performance, as determined by evaluations and reports from principals, students, and parents. She supports school choice and charter schools.Haley supports barring legislators from collecting legislative pensions while in office. She believes such pensions should be based on only the $10,400 legislative salary instead of the salary plus lawmakers' $12,000 annual expense allowance.Haley has stated that, as a daughter of immigrants, she believes the immigration laws should be enforced. She voted in favor of a law that requires employers to be able to prove that newly hired employees are legal residents of the United States, and also requires all immigrants to carry documentation at all times proving that they are legally in the United States. Haley signed an ""Arizona-style"" law cracking down on illegal immigration in June 2011. The law is the subject of a lawsuit initiated by the United States Justice Department on numerous grounds, including claims the immigration law violates the Supremacy Clause. Rob Godfrey, a spokesman for Haley, said, ""If the feds were doing their job, we wouldn't have had to address illegal immigration reform at the state level. But, until they do, we're going to keep fighting in South Carolina to be able to enforce our laws.""Haley describes herself as pro-life and has supported legislation to restrict abortion. She has stated ""I'm not pro-life because the Republican Party tells me, I'm pro-life because all of us have had experiences of what it means to have one of these special little ones in our life."" In 2016, she re-signed a new state law that bans abortions at 20 weeks of pregnancy.Haley has voted in favor of some bills relating to abortion that were tabled or rejected, including the Inclusion of Unborn Child/Fetus in Definition for Civil Suits Amendment, Prohibiting Employment Termination Due to Abortion Waiting Period amendment, and Exempting Cases of R*** from Abortion Waiting Period amendment. The latter would have allowed specific cases of women to not have to wait the mandatory 24 hours before having an abortion.As a state legislator, her assignments included the Committee on Labor, Commerce and Industry, and the Committee on Medical, Military, Public and Municipal Affairs.  She had several caucus memberships as well, including the Freshman Caucus, 2005–2006 (chair), the Sportsman's Caucus, and the Women's Caucus, 2007 (Vice Chair)  She also served on the Lexington County Meth Taskforce.","[-0.02114311  0.00124668 -0.01282969 ...  0.00130212 -0.02108935
 -0.00351153]",0.1893802918813542
31,"Haley was critical of Trump during the election. She stated of Trump in 2016: ""I will not stop until we fight a man that chooses not to disavow the KKK. That is not a part of our party. That's not who we want as president. We will not allow that in our country.""When Rubio dropped out of the election, she then supported candidate Ted Cruz. When Trump became the Republican putative nominee, she said that she would vote for him, but was ""not a fan.""In October 2016, when asked if she'd vote for Trump she replied, ""Of course"". Haley further endorsed Trump saying, ""...the best person based on the policies, and dealing with things like Obamacare, still is Donald Trump"". But Haley also warned Trump's rhetoric could lead to violent tragedy.","[-0.03531169 -0.02093072  0.01460102 ... -0.00636206 -0.01121612
 -0.00226038]",0.19422520283714906
0,"Nimarata Nikki Haley (née Randhawa; born January 20, 1972) is an American politician who served as the 116th governor of South Carolina from 2011 to 2017. A member of the Republican Party, she was the 29th United States ambassador to the United Nations for two years, from January 2017 through December 2018. She is also the first Indian American to serve as a member of a presidential cabinet.Haley was born in Bamberg, South Carolina, and earned an accounting degree from Clemson University. She joined her family's clothing business before serving as treasurer and then president of the National Association of Women Business Owners. First elected to the South Carolina House of Representatives in 2004, she served three terms. In 2010, during her third term, she was elected governor of South Carolina, and won re-election in 2014. Haley was the first female governor of South Carolina, the youngest governor in the country, and the second governor of Indian descent (after fellow Republican Bobby Jindal of Louisiana). Haley served as United States ambassador to the United Nations from January 2017 through December 2018.","[-0.03116914 -0.01876403  0.00265987 ... -0.01718733 -0.00279832
 -0.00320226]",0.19435917097622113
88,"Ambassador Nikki R. Haley at the Wayback Machine (archived July 24, 2018)","[-0.03823949 -0.01263034  0.02210474 ... -0.01079595  0.01017134
 -0.00406656]",0.19486078699192722
1,"Haley affirmed the United States's willingness to use military force in response to further North Korean missile tests in the wake of the 2017–2018 North Korea crisis. She defended U.S. interests, particularly U.S. support of Israel, at the Security Council, and led the withdrawal of the U.S. from the United Nations Human Rights Council. She decided to voluntarily step down as ambassador on December 31, 2018.Haley is a candidate in the 2024 Republican Party presidential primary for president of the United States in the 2024 U.S. presidential election. She announced her campaign in February 2023.","[-0.02786756 -0.01416796  0.00417298 ... -0.00960143  0.0113773
  0.01161799]",0.1969943247632594
